Device_Fail,Gear_Type,Velocity,Torque(Nm),Wear_Measure,Sensor_1,Sensor_2
N,Y,1566,35.9,204,300.5,328.1851852
N,X,1419,50.7,7,297.5,324.8518519
N,Z,1395,50.5,131,301.8,331.1481481
N,Z,1546,43.4,29,301.8,331.8888889
N,Y,1554,34.3,99,300.3,334.1111111
N,Z,1477,34.6,195,300,329.2962963
N,Z,1497,40.5,180,300.5,334.8518519
N,Z,1526,37.9,177,299.2,324.8518519
N,Y,1687,30.4,82,297.2,321.1481481
N,Z,1515,36.8,162,302.8,337.0740741
Y,X,1271,68.6,161,304,340.7777778
Y,Y,1368,63.7,92,301.4,331.5185185
N,Z,1380,53.5,192,297.5,323.7407407
N,X,1484,38,198,300.4,329.2962963
N,Z,1601,35.8,43,298.2,325.2222222
N,Z,1414,48.3,162,296.2,317.8148148
N,X,1672,27.5,54,298.6,327.8148148
Y,Z,1348,58.8,202,298,322.2592593
N,Z,1496,45.8,46,298,327.0740741
N,Z,1630,33.3,116,298.5,326.3333333
N,Z,1542,39.2,179,299.2,324.4814815
N,Z,1336,53.7,61,297.4,322.6296296
N,Z,1286,56.8,46,300.4,330.4074074
N,Z,1387,54.1,171,298.8,326.7037037
N,Z,1456,45.5,75,298.3,325.962963
N,Z,1474,41.3,189,298.5,325.5925926
N,Y,2157,17.2,94,302.6,329.6666667
N,Z,1561,37.7,16,297.9,319.6666667
N,X,1415,48.4,185,302.2,332.2592593
N,X,1655,29.9,193,300.3,335.2222222
N,Y,1568,36.7,182,298.6,327.0740741
N,Z,1464,40.5,215,299.4,325.5925926
N,Z,1408,45.4,98,298.3,325.2222222
N,Z,1412,46.3,107,298.8,328.9259259
N,X,1393,46.6,56,297.5,323.3703704
N,Z,1528,33.8,22,297.6,325.2222222
N,Z,1331,49.8,143,300.2,334.1111111
N,Z,1434,40.3,133,302.3,334.1111111
N,Y,1517,39.5,69,297.9,320.4074074
N,Y,1576,45,17,297.8,325.2222222
Y,Z,1922,23.3,205,299.6,331.5185185
N,X,1674,33.6,49,301.4,331.1481481
N,Z,1518,44.3,163,297.2,323.3703704
N,Y,1544,37.9,136,297.5,321.1481481
N,Z,1894,21.9,188,300.9,330.7777778
N,Y,1550,34.9,162,301,334.4814815
N,Y,1507,47.7,70,302.3,333.3703704
N,X,1430,40.9,162,298.3,325.5925926
N,Z,1522,36.6,202,301.5,331.1481481
N,Z,1782,25.9,54,297.4,323.3703704
N,Y,1630,29.3,104,303.9,340.7777778
N,X,1748,25.1,175,303.8,338.1851852
N,Y,1670,26.3,89,300.5,335.962963
N,Z,1574,35.8,153,297.9,319.6666667
N,Y,1578,30.5,34,300.5,326.3333333
N,Z,1574,42.8,215,302.3,335.5925926
N,Z,1452,41.5,172,300.3,335.2222222
N,Z,1681,28.6,206,300.4,328.5555556
N,Y,1607,33.7,14,303.6,338.1851852
N,Y,1423,42.5,121,295.7,314.8518519
N,Y,1451,49,115,300,334.4814815
N,Z,1346,46.7,90,301.3,330.4074074
N,Z,1474,40,158,296.6,318.9259259
N,Y,1467,40.3,166,300.4,326.3333333
N,X,1509,46.6,125,300.3,328.5555556
N,Z,1515,47.4,170,300.4,335.2222222
N,Z,1393,46.5,9,303.9,340.7777778
N,X,1567,38.7,129,300.7,330.7777778
N,X,1502,34.3,40,300.5,326.7037037
N,Z,1632,36.6,186,303.7,338.1851852
N,Y,1573,41.8,91,298.8,330.037037
Y,Z,1321,52.7,134,302.3,329.2962963
N,Y,1472,43.9,30,296.8,319.2962963
N,Y,1505,41.3,93,298.3,325.2222222
N,Z,1553,36.8,97,298.8,330.037037
N,Y,1687,27.7,95,300.1,325.962963
N,Y,1618,36.7,115,301.7,333
N,Z,1616,32.8,65,298.1,321.8888889
N,Y,1488,43.7,189,298.5,326.3333333
N,Z,1557,36,56,298.1,325.2222222
N,Z,1592,32,60,298.9,328.5555556
N,Z,1553,33.3,155,297,320.7777778
N,Z,1612,30.7,134,297.9,320.037037
N,Z,1840,21.5,88,298.3,321.8888889
N,Z,1495,36.9,197,301.8,333
N,Z,1621,38.8,182,303.7,338.5555556
Y,Y,1373,48,73,301.9,330.4074074
N,Z,1879,21.3,78,303.4,334.4814815
N,Z,1858,25.4,2,302.7,337.4444444
N,Y,1561,34.9,106,302.2,333.3703704
N,Y,1447,41.4,193,300.9,336.3333333
N,Z,1435,45.3,62,296.9,321.8888889
N,Y,1439,43.8,111,298.3,320.4074074
N,Z,1337,58.1,184,297.2,321.1481481
N,X,1490,43.1,159,300.7,336.7037037
N,X,1598,37.9,148,302.1,333.3703704
N,Z,1517,41.1,167,301.6,330.4074074
N,Z,1420,46.5,73,297.3,321.5185185
N,Y,1538,37.6,54,297.9,324.4814815
N,Y,1323,51.7,88,298.1,324.8518519
N,Z,1506,40.8,11,301.3,328.9259259
N,Z,1383,47.5,75,297.6,323.7407407
N,X,1888,20.5,133,300.6,327.4444444
N,Z,1565,36,179,303.8,338.5555556
N,Z,1428,53.3,152,303.8,339.2962963
N,Z,1474,43.6,4,297.4,323
N,Z,1289,51.3,82,297.7,323
N,Y,1876,22.1,99,301.7,331.1481481
Y,Y,1399,41.9,221,299.7,326.3333333
N,Z,1450,46.8,118,297.9,325.2222222
N,Z,1641,31.9,192,301.7,331.5185185
N,Z,1514,44.6,98,300,327.4444444
N,Y,1742,29.7,137,302.3,332.2592593
N,Y,1396,47.4,5,301.2,331.8888889
N,Z,1606,33.6,67,298.3,323.3703704
N,Z,1470,41.2,156,302.6,331.8888889
N,Y,1419,41.7,81,297.6,324.1111111
N,Z,1922,22.6,132,298.2,325.962963
N,Z,1368,47.2,175,299.2,324.8518519
N,Z,1936,23.9,131,300.4,334.1111111
N,Z,1549,34.9,68,297.6,327.0740741
Y,Z,1446,62.9,134,299.4,324.1111111
N,X,1359,47.6,85,298.8,323.3703704
N,Z,1474,43.7,162,297.2,321.5185185
N,X,1419,48.2,215,297.6,327.4444444
N,X,1700,28.2,120,298.4,321.1481481
N,Y,1628,35.8,64,299,329.6666667
N,Y,1569,36.6,47,303.3,334.4814815
N,Y,1335,56.2,190,298.1,319.2962963
N,Y,1254,57.1,124,298.7,327.4444444
N,Z,1355,43.8,142,298.2,326.3333333
N,Y,1832,23.7,129,302.2,330.7777778
N,X,1636,35.5,180,299.3,324.4814815
N,Y,1644,34.1,46,298.7,329.2962963
N,Z,1580,37.3,100,298.9,329.2962963
N,Z,1426,46.6,102,302.4,328.9259259
N,Z,1356,52.6,188,299,323
N,Z,1701,31.2,199,299.4,326.7037037
N,Y,1608,40.6,79,303.9,340.7777778
Y,Z,1309,52.9,86,303.6,336.3333333
N,Z,1590,34.6,57,297.9,320.4074074
N,Z,1807,24.2,77,300.7,329.6666667
N,Z,1635,31.6,147,297,321.1481481
N,X,1597,36.3,35,299.6,325.962963
N,Y,1559,33.9,119,302.3,331.5185185
N,Z,1696,30.9,107,302.1,330.7777778
N,Z,1374,47.1,150,297.8,323
N,Z,1446,38.2,61,298.2,322.2592593
N,Z,1415,41.6,28,301.5,330.037037
N,Y,1335,52.9,180,299.9,330.7777778
N,Z,1325,52.2,127,298.6,327.0740741
N,Z,1499,37.6,73,300.5,334.4814815
N,Z,1314,50.2,179,300.4,327.8148148
N,Y,1474,39.7,64,299.6,332.2592593
N,Y,1403,51.9,77,303.5,340.037037
N,Z,1391,46.9,21,299.3,331.8888889
N,Z,1613,27.7,143,298.8,327.4444444
N,Z,1311,55.8,118,300.8,332.2592593
N,Z,1552,44.9,77,297.5,323.7407407
N,Z,1570,34,31,300.3,328.5555556
N,Z,1532,39.8,115,300.1,328.1851852
N,Z,1475,47.2,69,297.4,323.3703704
N,Z,1306,50.7,38,297.5,323.3703704
N,Z,1268,53.3,146,299.9,330.037037
N,Z,1402,50.5,30,302.8,331.8888889
N,T,1546,36.7,77,300.1,327.4444444
N,Y,1440,42.8,30,299.7,329.6666667
N,T,1322,59.5,71,303.5,340.037037
N,T,1400,45.1,29,300.5,334.1111111
N,T,1509,33,153,300.5,331.8888889
N,Y,1521,38.2,87,297.3,323
N,Y,1628,37.6,12,298.1,324.4814815
N,T,1295,62.3,91,301.8,331.1481481
N,Y,1487,36.6,129,298.9,328.9259259
N,Y,1569,38.3,93,297.6,323
N,T,1459,45.1,97,301.5,333
N,T,1467,42.8,169,297.1,321.5185185
N,T,1809,23.8,131,297.4,324.8518519
N,Y,1390,49.3,215,299.3,324.1111111
N,T,1850,27,194,298.4,322.2592593
N,X,1353,47.1,143,299.7,333
N,T,1309,55.5,71,300.4,334.1111111
Y,Y,1319,68.3,24,296.3,318.5555556
N,T,1582,35.6,202,301.3,332.6296296
N,T,1579,38.6,126,298.5,327.0740741
N,T,1329,54.6,176,302.4,332.6296296
N,X,1318,55.7,0,298.2,320.037037
N,T,1397,45.7,187,303.7,338.1851852
N,Y,1491,41,209,299.1,324.4814815
N,T,1432,48.1,202,301.1,334.8518519
N,Y,1746,31.1,83,301.6,328.5555556
N,T,1515,38.4,51,301.2,330.4074074
N,X,1466,47,80,303.5,334.8518519
N,T,1492,50.9,111,300.1,330.7777778
N,X,1506,33.8,43,302.3,329.6666667
N,T,1368,44.7,147,298.8,327.0740741
N,T,1512,40.8,137,297.8,319.2962963
N,T,1399,42.6,194,297.1,322.2592593
N,Y,1372,55.1,9,302.2,334.1111111
N,T,1429,50.1,84,299.1,324.4814815
N,T,1583,39.8,202,298.9,327.4444444
N,Y,1609,31.4,99,299.3,331.1481481
N,Y,1510,40.8,177,298.6,326.3333333
N,Y,1690,25.6,159,297.1,321.5185185
N,X,1393,44.9,162,299.3,330.4074074
N,T,1578,35.6,55,298.1,321.1481481
N,T,1541,38.5,208,298.7,328.5555556
N,T,1595,31.4,133,301.9,327.8148148
N,Y,1313,56.8,171,298.9,329.2962963
N,T,1450,45.9,35,301,332.2592593
N,T,1657,28.7,108,301.4,331.5185185
N,T,1544,42.5,227,303.2,334.4814815
N,T,1712,28.5,141,300.1,326.3333333
N,T,1497,47.5,27,297.3,323.3703704
N,T,1570,41.6,202,301.1,333
N,T,1593,42.5,146,298.7,328.5555556
N,T,1356,45.4,96,298.3,326.7037037
N,Y,1591,42,182,300.5,335.5925926
N,X,1419,39.6,3,300.6,331.1481481
N,T,1603,36.7,184,297.5,324.4814815
N,T,1683,32.1,85,302.9,338.1851852
N,T,1680,27.2,110,299.1,324.8518519
N,Y,1575,34.6,150,301,332.2592593
N,T,1865,22.7,48,302,332.6296296
N,X,1452,49.9,187,298.9,329.2962963
N,Y,1501,39.8,187,301.3,330.4074074
Y,T,1372,60.1,212,300.6,335.962963
Y,Y,1303,68.6,111,299,330.037037
N,Y,1762,24.5,73,302.3,332.2592593
N,T,1517,41.2,64,298.6,328.9259259
N,T,1406,47.1,213,303.4,335.2222222
N,T,1535,41.2,40,298.8,323.7407407
N,Y,1618,36.2,53,300,327.4444444
N,X,1566,46.6,192,299.1,324.4814815
N,X,1782,23.9,24,298.4,324.8518519
N,T,1397,50.8,189,300.4,333
N,X,1472,45.5,166,304,340.4074074
N,Y,1868,23.8,118,298.7,327.8148148
N,Y,1683,31.8,76,296.8,321.1481481
N,Y,1555,33.4,128,303.8,338.9259259
Y,T,1377,46.8,166,302.3,332.2592593
N,T,1527,41.4,2,300.3,328.5555556
N,T,1651,27,200,302.8,337.8148148
N,Y,1692,28.4,201,299.4,326.3333333
N,X,1376,56.2,113,298.1,320.4074074
N,T,1471,37.9,86,300.6,332.2592593
N,T,1480,45.8,123,302.4,330.037037
N,Y,1597,30.3,115,299.2,325.2222222
N,T,1927,23.9,112,296.7,320.4074074
N,Y,1606,29.6,122,303.4,334.1111111
N,T,1435,42.5,25,298.5,328.9259259
N,Y,1370,50.5,71,297.3,323
N,T,1376,49.1,0,301.1,331.5185185
N,Y,1640,33.1,146,298.5,321.1481481
N,Y,1767,24.8,196,299.3,324.8518519
N,T,1478,50.1,166,298.2,322.2592593
N,Y,1612,30,163,297.5,323.3703704
N,Y,1424,53.9,120,297.4,322.2592593
N,Y,1586,34.3,149,302.4,330.4074074
N,T,1406,47.4,3,299.3,323
N,X,1452,41.5,139,300.3,327.8148148
N,T,1539,35.3,80,300.2,327.0740741
N,Y,1444,41.1,56,297.2,323.7407407
N,Y,1409,52.5,26,301.8,330.037037
N,T,1435,41.6,139,296.9,321.1481481
N,X,1397,45.2,2,300.5,333.3703704
N,Y,1449,43.2,80,299.1,331.1481481
N,Y,1420,49.5,5,299.5,325.5925926
N,Y,1734,27.7,70,297.4,321.8888889
N,T,1920,22.3,223,300.6,330.037037
N,X,1435,44.7,8,297.9,325.5925926
N,T,1451,41.8,66,302.2,333.3703704
N,Y,1452,41.5,86,301.7,328.5555556
N,X,1311,58.6,19,296.8,321.5185185
N,X,1425,44,33,300.8,332.2592593
N,T,1654,27.1,13,298.5,322.2592593
N,T,1647,33.3,85,301.4,330.7777778
N,T,1680,33.8,140,300.1,327.8148148
N,T,1515,39.2,24,303.5,335.962963
Y,T,1433,62.3,20,298.4,322.6296296
N,Y,1800,24.8,78,298.7,327.4444444
N,Y,1710,26.5,190,303.8,340.7777778
N,Y,1562,38.1,78,302.2,331.8888889
N,Y,1246,52.9,165,300.5,334.8518519
N,T,1431,44.3,21,301.4,331.8888889
N,Y,1560,37.1,73,299.6,325.5925926
N,T,2129,19.2,148,297.8,323
N,X,1469,43.7,96,297.7,324.4814815
N,T,1583,35.8,142,299,329.2962963
N,Y,1919,20.2,131,303.8,338.9259259
N,T,1333,51.2,40,299.6,329.6666667
N,Y,1625,35.9,121,301.7,330.7777778
N,T,1602,38.3,21,297.9,319.6666667
N,T,1530,37.8,57,302.3,334.4814815
N,Y,1573,38.9,209,301.9,332.2592593
N,Y,1541,36.6,143,302.3,332.6296296
N,Y,1639,36.6,121,302.3,335.2222222
N,T,1661,30.3,129,300.7,327.4444444
N,Y,1470,45.9,132,296.8,319.6666667
N,T,2100,16.9,176,297.4,323.3703704
N,Y,1479,47.6,76,298,321.1481481
N,T,1412,44.8,200,300.3,325.962963
N,T,1615,37.8,127,304,340.7777778
N,X,1694,30.9,111,298.4,326.3333333
N,T,1828,23.8,26,298.9,322.2592593
N,Y,1500,41.7,125,303.8,338.9259259
N,T,1521,45.1,86,300.5,328.9259259
N,Y,1378,41.9,97,297.2,323
N,Y,1648,28.4,188,299.3,324.4814815
N,T,1370,52.4,61,299.2,323.3703704
N,T,1664,31.6,144,298.3,323.3703704
N,T,1446,38.5,164,297.2,321.8888889
N,T,1395,54.2,198,302.3,334.4814815
N,T,1811,24,84,301.2,331.1481481
N,T,1602,39.1,211,298.8,331.1481481
N,Y,1269,64,87,300.5,335.2222222
N,X,1390,40.6,131,300.9,331.8888889
N,Y,1509,39.7,166,297.6,323.7407407
N,Y,1615,34.9,95,301.2,331.5185185
N,Y,1437,42.3,0,301.8,329.6666667
Y,T,1405,46.4,207,301.7,332.2592593
N,T,2595,13.7,207,300.9,328.9259259
N,T,1578,32.8,26,300.4,330.7777778
N,T,1683,28.4,46,303.7,340.4074074
N,Y,1581,47.4,51,298.1,324.1111111
N,T,1621,34.5,48,299.4,325.962963
N,Y,1427,46.9,123,304.1,340.7777778
N,Y,1356,44.3,214,300.8,335.962963
N,T,1935,22.1,171,297.8,327.8148148
N,T,1427,46.8,179,302.5,330.4074074
N,T,1442,50,104,298.8,327.4444444
N,T,1513,40.3,160,298.8,325.5925926
N,Y,1417,52.5,171,301.9,333
Y,T,1417,51.5,231,300.5,326.3333333
N,T,1616,31.1,195,298.3,325.5925926
N,T,1538,41.2,126,297.4,324.4814815
N,T,1495,32.6,49,300.2,327.0740741
N,Y,1678,32.8,4,298.8,330.7777778
N,X,1536,39.9,201,301.4,330.7777778
N,Y,1359,61.1,67,299.5,329.2962963
Y,Y,1379,48.9,107,302.4,329.2962963
N,T,1384,39.6,144,297.3,323.3703704
N,Y,1689,29.7,101,299,330.037037
N,T,1472,41.3,67,297.3,323
N,Y,1510,36,64,301.5,331.5185185
N,X,1374,47.7,8,300.2,328.1851852
N,T,1521,42.9,60,298.2,320.7777778
N,T,1343,57.7,142,300.3,334.1111111
N,Y,1426,50.7,130,296.9,320.7777778
N,X,1935,19.3,24,297.3,322.6296296
N,Y,1434,51.5,189,300.2,327.0740741
N,Y,1429,41.6,184,300.3,335.962963
N,T,1451,47.5,42,301.3,331.1481481
N,X,1512,35.3,51,298.4,326.7037037
N,T,1511,45.8,114,298,324.1111111
N,T,1763,28.4,54,297.3,321.8888889
N,T,1363,50.1,96,298.3,321.5185185
N,T,1638,36.2,84,302.6,330.4074074
N,T,1385,50.7,133,301.7,331.8888889
N,T,1356,47.8,116,298.9,329.2962963
N,T,1355,50.6,37,301.4,333.3703704
Y,T,1362,60.3,206,300.3,330.037037
N,T,1383,42.1,60,300.2,334.4814815
N,T,1486,45.1,30,300.8,335.962963
N,X,2540,13.3,98,297,321.8888889
N,Y,1680,30.2,168,297.7,327.8148148
N,T,1478,39.5,180,300.3,326.3333333
N,Y,1530,38.8,198,299.6,332.2592593
N,T,1445,41.6,81,300,334.4814815
N,T,1376,53.4,98,303.4,339.2962963
N,T,1445,43.5,224,299.2,323
N,Y,1449,44.5,113,302.2,334.4814815
N,T,2449,13.8,45,298.2,325.2222222
N,Y,1741,27.7,50,298.8,328.5555556
N,T,1802,25.4,170,304.3,341.8888889
N,Y,1531,42.4,38,297.7,325.2222222
N,Y,1619,29.7,17,296.1,318.5555556
N,X,1626,31.1,166,298.4,320.4074074
N,T,1419,39.7,115,297.2,322.6296296
N,X,2026,20.3,26,300.4,333.7407407
N,T,1542,35.4,208,298.4,326.3333333
N,Y,1662,30.3,26,297.5,323.3703704
N,T,1361,53.8,193,296.8,322.2592593
N,X,1420,45.7,143,298.7,323.3703704
N,T,1504,38.7,65,302.3,334.1111111
N,Y,1462,42.8,50,300.1,327.0740741
N,T,1708,28,42,298.3,324.8518519
N,Y,1460,46.7,166,301.2,332.2592593
N,Y,1426,46.1,67,301.2,331.5185185
N,T,1759,28.4,74,303.9,340.037037
N,T,1741,32.8,112,298.4,323.3703704
N,T,1639,30.4,121,300.6,327.8148148
N,Y,1422,44.5,49,302.7,337.8148148
N,T,1654,29.6,188,296.3,318.1851852
N,Y,1397,47.1,137,303.3,338.5555556
N,X,1864,23.6,47,300.7,335.2222222
N,T,1807,26.4,169,300.3,325.962963
N,T,1407,55.2,86,297.6,323
N,T,1576,36.6,7,298.9,322.6296296
N,Y,1575,40.1,139,301.6,332.2592593
N,Y,1416,49,136,301.8,334.4814815
Y,Y,1867,23.4,225,299.6,325.962963
N,T,1650,30.5,93,299.2,324.1111111
N,T,1523,40.7,85,296.5,319.2962963
N,T,1469,49.5,107,301.5,333
N,X,1635,34,142,297.9,320.7777778
N,T,1504,39.3,192,298.4,326.3333333
N,T,1452,48.4,110,301.8,331.1481481
N,T,1465,35,201,299.2,323
N,T,1575,41.2,105,298.3,323.3703704
N,Y,1414,49.3,106,301.6,330.7777778
N,Y,1501,44.7,48,298.7,328.1851852
Y,T,1341,50.5,64,301.8,330.037037
N,T,1624,34.5,216,301.7,331.1481481
N,T,1535,42.6,17,299.2,331.5185185
N,T,1844,21.9,61,297.7,320.037037
N,T,1410,40.6,99,300.6,326.7037037
N,T,1494,41.4,149,302.7,334.4814815
N,T,1760,25.4,55,300.1,327.4444444
N,Y,1350,53.3,22,296.1,318.1851852
N,X,1494,37.8,214,299.7,326.3333333
N,T,1584,38.8,132,301.7,333.7407407
N,Y,1608,33.8,106,298.2,320.4074074
N,Y,1508,37.8,150,300.5,328.1851852
N,Y,1526,36.9,20,298.3,325.2222222
N,Y,1527,42.8,125,297.9,320.4074074
N,X,2056,19.7,167,303.1,333.7407407
N,T,1578,36.3,71,298.5,326.7037037
N,T,1672,33.2,144,299,328.9259259
N,T,1405,57.4,152,302.5,330.037037
N,T,1622,33.6,217,299.4,331.8888889
N,Y,1299,60.4,48,301.8,332.2592593
N,X,1679,31.2,120,299.6,332.2592593
N,T,1578,34.4,76,297.2,323.7407407
N,T,1629,31.7,62,300,333.3703704
N,T,1383,44.6,198,303,333.3703704
N,Y,1413,42.6,79,301.7,333.3703704
N,Y,1565,33.7,150,298.5,326.7037037
N,X,1423,53.6,95,301.6,328.5555556
N,T,1390,44.6,140,297.5,324.8518519
N,X,1570,35.8,147,303.8,339.6666667
N,Y,1507,36.1,191,298.4,325.2222222
N,T,1539,37.7,29,302.4,329.6666667
N,X,1564,38,191,297.3,324.4814815
N,T,1519,40,96,298.3,325.2222222
N,T,1643,34.1,44,301.6,332.2592593
N,T,1471,44.1,244,300.6,326.7037037
N,T,1511,36.9,105,300.6,328.9259259
N,T,1694,28.4,66,302.8,338.1851852
N,T,1740,28.5,152,298.8,327.8148148
N,T,1524,34.2,196,299.8,330.037037
N,T,1492,41.2,19,298.5,328.9259259
N,T,1528,43.1,30,302.3,332.6296296
N,T,1616,34.5,46,301.9,332.2592593
N,Y,1608,34.4,68,299.7,325.962963
N,Y,1360,52.8,176,302.2,333.3703704
N,T,1341,52.6,21,300.6,329.6666667
N,Y,2219,16.7,79,301.1,331.5185185
N,X,1360,56.8,107,298.2,325.2222222
N,T,1451,41,55,300.3,335.5925926
N,T,1577,33.2,100,300.7,337.4444444
N,T,1329,54.3,80,300.7,327.4444444
Y,Y,1372,63.6,30,298.9,322.2592593
N,Y,1842,27,133,297.5,323.7407407
N,X,1530,42,184,298.1,322.6296296
N,X,1697,32.2,210,297.7,327.4444444
N,X,1798,22.3,59,301.2,332.2592593
N,T,1715,28.4,90,298.6,327.4444444
N,Y,1542,33.9,100,300.6,328.9259259
N,T,1560,31.8,21,300.8,335.962963
N,T,1820,23.6,120,298,325.5925926
N,Y,1421,44.4,94,301.6,331.5185185
N,T,1471,51.1,8,301.7,329.6666667
N,T,1552,37.4,37,299.4,325.962963
N,Y,1505,36.7,78,302.3,333.3703704
N,Y,1784,25.1,177,302.7,335.2222222
N,Y,1562,39.2,155,298,325.2222222
N,T,1460,46.7,150,297.6,324.1111111
N,T,1906,21.7,62,301.9,331.8888889
N,Y,1434,39.1,82,300.8,333.3703704
N,Y,1424,47.7,103,298.1,320.4074074
N,T,1505,39.7,25,297.8,320.4074074
N,T,1428,46.3,175,299,330.037037
N,T,1529,41.3,165,297.4,324.4814815
N,T,1378,49.3,18,298.9,328.9259259
N,T,1564,37.1,30,298.6,328.5555556
N,T,1388,52.4,94,299.5,328.9259259
N,T,1547,39.7,121,300.3,335.5925926
N,Y,1722,24.7,64,298.7,323.7407407
N,T,1384,50.9,99,302.4,335.5925926
N,T,1387,50.8,204,298,320.4074074
N,T,1749,28.1,179,299.4,330.7777778
N,T,1405,47.9,58,300.4,335.5925926
N,T,1496,37.2,149,299.3,325.5925926
N,Y,1578,33.5,158,302.3,332.6296296
Y,T,1353,50.9,36,302.3,329.2962963
N,T,1554,34.8,204,297.5,324.8518519
N,T,1526,35.3,46,300.2,326.7037037
N,T,1497,38.2,83,300.6,331.1481481
N,T,1470,45.9,109,298.9,328.9259259
N,T,1478,49.8,150,297.4,325.5925926
N,T,1660,32.7,57,300.1,327.0740741
N,Y,1570,42.1,200,298.7,328.1851852
N,Y,1768,23.9,149,303.8,338.5555556
N,X,1522,35.9,61,302.2,332.2592593
N,X,1597,35.8,160,302.2,335.962963
N,Y,1519,34.9,73,300.9,331.8888889
N,T,1435,54.8,70,300.4,328.5555556
N,T,1339,49.6,94,299,330.4074074
N,T,1543,38.5,37,302.2,334.4814815
N,T,1764,29,139,297.7,319.2962963
N,T,1609,32.5,27,299.8,326.7037037
N,Y,1434,41.8,93,298.1,324.4814815
N,T,1529,35.2,153,297.7,327.4444444
N,Y,1793,25,142,301,330.4074074
N,T,1606,35.5,14,297.9,319.2962963
N,T,1894,20.1,106,299.1,329.2962963
N,Y,1457,52.5,98,298.3,320.7777778
N,T,1432,54.4,51,301.3,331.8888889
N,Y,1352,49.4,102,297.8,320.037037
N,Y,1376,39,181,297.4,324.8518519
Y,T,1368,57.9,191,300.5,335.5925926
N,Y,1438,51,211,300.1,325.962963
N,T,1391,48.9,139,299.4,331.8888889
N,T,2073,21.4,105,300.9,334.1111111
N,Y,1384,47.4,121,301.9,332.6296296
N,T,1410,48.3,118,300.1,327.8148148
N,T,1340,57.8,90,302.9,337.0740741
N,T,1476,39,10,300.9,331.8888889
N,T,1877,23.9,4,299.2,323
N,T,1296,62.9,41,297.9,321.5185185
N,T,1416,42.2,225,300.8,331.1481481
N,X,1413,46.5,147,302.2,335.2222222
N,T,1512,39.2,184,303.7,337.8148148
N,T,1585,32.3,50,301,336.7037037
N,X,1453,40.4,108,298.7,327.0740741
N,T,1932,21.7,79,301,330.7777778
N,Y,1465,43.7,139,300.8,337.8148148
N,T,1498,42.9,171,298.1,320.037037
Y,T,1259,63.9,20,301.4,328.5555556
N,T,1571,39.9,51,300.9,331.8888889
N,X,1458,44.9,221,299,328.9259259
N,T,1353,58.7,86,300.1,325.5925926
N,T,1394,50.1,213,297.4,323
N,T,1469,42,214,302.9,337.0740741
N,T,1650,28.2,35,295.6,314.8518519
N,X,1660,29.3,72,301.7,329.2962963
N,T,1466,42.5,187,298.9,329.2962963
N,Y,1704,29.2,42,300.2,330.037037
N,T,1504,43,4,297.9,325.5925926
N,Y,1843,25.2,116,296.8,321.1481481
N,T,1251,59.9,120,300.7,327.0740741
N,Y,1457,44.3,98,300.1,325.962963
N,T,1439,44.9,174,299.7,333
N,Y,1506,42.7,85,299.7,332.6296296
N,X,1336,63.6,111,301.9,332.6296296
N,T,1566,33.1,68,298.7,329.6666667
N,Y,1469,44.1,150,297.3,324.4814815
N,Y,1534,33.8,151,296.3,318.1851852
N,Y,1519,35.4,133,298.4,327.0740741
N,Y,1396,47.3,158,303.7,338.9259259
N,T,1668,30.1,18,301.3,333.3703704
N,T,1304,57.2,183,298.9,329.6666667
N,T,2004,19.6,12,300.3,335.5925926
N,T,1479,36.2,115,302.4,330.037037
N,T,1396,49,13,298.9,328.1851852
N,Y,1386,42.1,170,300.8,331.5185185
N,T,1473,44.3,124,298,325.5925926
N,Y,1347,46.5,183,300.7,331.5185185
N,X,1429,42.9,96,299.1,329.2962963
N,Y,1398,47.3,70,302.7,330.7777778
N,T,1563,36.2,8,302,332.6296296
N,T,1699,27.9,160,303.6,338.5555556
N,T,1737,26.2,97,295.7,315.962963
N,T,1477,36.6,177,297.1,320.7777778
N,Y,1750,27.3,116,300.4,334.4814815
N,T,1708,27.3,170,298.3,324.8518519
N,Y,1441,43.7,131,304.1,342.2592593
N,X,1457,50.5,114,301.2,331.1481481
N,T,1575,39.9,12,297.7,324.8518519
N,Y,1288,58.4,162,301,327.8148148
N,T,1350,52.5,111,298.8,325.5925926
N,X,1547,50.7,131,300.4,327.0740741
N,Y,1600,42.1,190,297.4,323.3703704
N,T,1626,32.4,130,297.6,323
N,T,1841,24.6,143,300.5,327.8148148
N,T,1528,44.5,140,297.3,323.3703704
N,T,1392,46.2,70,302.8,337.8148148
N,T,1872,20.4,202,302.2,334.8518519
N,Y,1720,25.3,197,298.9,331.1481481
N,Y,1476,43.5,129,298.2,322.6296296
N,T,1535,34.6,114,296.7,319.2962963
N,Y,1312,45.2,73,300.6,326.7037037
Y,T,2672,11.8,124,301.8,331.1481481
N,Y,1602,33.7,135,303,338.1851852
N,Y,1608,33.1,97,302,330.4074074
N,T,1574,35.8,95,297.2,323.3703704
N,T,1596,33.9,157,301.3,332.2592593
N,T,1346,52.4,157,302.2,334.4814815
N,X,1495,35.8,175,299.9,333.3703704
N,Y,1765,27.5,115,303.6,338.9259259
Y,T,2564,12.8,127,297.5,322.6296296
N,Y,1482,44.4,73,303.3,338.5555556
N,T,1494,39.5,24,301.6,331.5185185
N,Y,1460,43.8,138,298.6,326.7037037
N,T,1297,54.2,110,299,323.7407407
